"Indicator_Type","Unique_Item","File_Hash","Malware_Family","Meaningful_Name","Last_Observation_Date"
"Certificate","MySnake ???? (Unverified)","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Certificate","Unsigned (Unverified)","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"Sigma Rule","Change PowerShell Policies to an Insecure Level - PowerShell","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Sigma Rule","Creation of an Executable by an Executable","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Sigma Rule","Files With System Process Name In Unsuspected Locations","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Sigma Rule","Python Initiated Connection","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Sigma Rule","Suspicious Get-WmiObject","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Sigma Rule","User with Privileges Logon","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Sigma Rule","User with Privileges Logon","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","checks-network-adapters","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","checks-network-adapters","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","checks-user-input","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","checks-user-input","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","checks-user-input","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","detect-debug-environment","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","detect-debug-environment","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","direct-cpu-clock-access","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","direct-cpu-clock-access","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","direct-cpu-clock-access","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"VT Tag","direct-cpu-clock-access","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","direct-cpu-clock-access","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","long-sleeps","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","long-sleeps","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","long-sleeps","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"VT Tag","nspack","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","overlay","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","peexe","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"VT Tag","peexe","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","peexe","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","peexe","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","peexe","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","runtime-modules","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","runtime-modules","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"VT Tag","runtime-modules","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","runtime-modules","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","runtime-modules","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","spreader","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","spreader","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","spreader","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptAcquireContextA","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptAcquireContextA","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptDecrypt","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
