"ip","RiskScore","Country","CountryName","IsGeoBlocked","ISP","ASN","IsASNSuspicious","IsProxy","IsWebProxy","IsVPN","IsHosting","IsTor","IsResidential","IsRelay"
"10.131.208.7","","","","False","","","False","","","","","","",""
"10.150.82.244","","","","False","","","False","","","","","","",""
"102.129.234.140","90","","United States of America","False","Freedomtech Solutions Limited","AS174","False","False","False","True","False","False","False","False"
"102.129.252.109","80","","United States of America","False","Freedomtech Solutions Limited","AS174","False","False","False","True","False","False","False","False"
"103.11.218.1","100","","Cambodia","False","M.A.T Co. Ltd.","AS132080","False","False","False","False","False","False","True","False"
"103.124.53.75","60","","Bangladesh","False","Chittagong Data Communication","AS138385","False","False","False","False","False","False","True","False"
"103.181.8.26","20","","India","False","Genstar Broadband Private Limited","AS134022","False","False","False","False","False","False","True","False"
"104.234.225.5","60","","United States of America","False","Internet Utilities NA LLC","AS62240","False","False","False","False","True","False","False","False"
"104.243.245.5","100","","Mexico","False","Secure Internet LLC","AS396356","False","False","False","False","True","False","True","False"
"108.129.226.25","40","","Ireland","False","Amazon.com Inc.","AS16509","False","False","False","False","True","False","False","False"
"117.120.9.24","60","","Australia","False","Servers Australia Pty Ltd","AS45671","False","False","False","True","True","False","False","False"
"118.99.81.248","20","","Indonesia","False","Biznet Networks","AS17451","False","False","False","False","False","False","True","False"
"127.0.0.1","","","","False","","","False","","","","","","",""
"129.154.244.243","60","","India","False","Oracle Corporation","AS31898","False","False","False","False","True","False","False","False"
"13.238.161.1","0","","Australia","False","Amazon Corporate Services Pty Ltd","AS16509","False","False","False","False","True","False","False","False"
"13.60.191.61","40","","Sweden","False","Amazon.com Inc.","AS16509","False","False","False","False","True","False","False","False"
"135.125.232.58","40","","France","False","OVH SAS","AS16276","False","False","False","False","True","False","False","False"
"136.144.19.39","90","","United States of America","False","VPN Consumer Miami United States","AS206092","False","False","False","False","True","False","True","False"
"142.132.224.159","40","","Germany","False","Hetzner Online GmbH","AS24940","False","False","False","False","True","False","False","False"
"143.198.154.141","60","","United States of America","False","DigitalOcean LLC","AS14061","True","False","False","False","True","False","False","False"
"146.70.221.216","40","","Serbia","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","True","False"
"146.70.38.37","80","","Argentina","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"146.70.65.139","80","","Nigeria","True","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"146.70.98.19","80","","Brazil","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"149.102.232.24","80","","Slovakia","False","DataCamp Limited","AS174","False","False","False","True","True","False","False","False"
"149.22.87.4","60","","Japan","False","DataCamp Limited","AS174","False","False","False","True","True","False","False","False"
"149.22.90.194","80","","Belgium","False","DataCamp Limited","AS174","False","False","False","True","True","False","False","False"
"152.42.179.66","60","","Singapore","False","DigitalOcean LLC","AS14061","True","False","False","False","True","False","False","False"
"154.16.81.113","60","","Australia","False","Freedomtech Solutions Limited","AS18345","False","False","False","True","True","False","False","False"
"154.47.30.40","80","","South Africa","False","DataCamp Limited","AS174","False","False","False","True","True","False","False","False"
"155.2.217.5","60","","Hungary","False","VPN Consumer Budapest Hungary","AS212238","False","False","False","True","True","False","False","False"
"156.146.41.16","80","","Italy","False","DataCamp Limited","AS212238","False","False","False","True","True","False","False","False"
"156.146.57.110","60","","Singapore","False","DataCamp Limited","AS212238","False","False","False","True","True","False","False","False"
"158.173.152.68","80","","Switzerland","False","VPN Consumer Zurich Switzerland","AS212238","False","False","False","True","True","False","True","False"
"158.173.20.158","90","","Netherlands (Kingdom of the)","False","VPN Consumer Amsterdam the Netherlands","AS212238","False","False","False","True","True","False","False","False"
"158.173.23.157","80","","United Kingdom of Great Britain and Northern Ireland","False","VPN Consumer London United Kingdom","AS212238","False","False","False","True","True","False","True","False"
"158.173.36.12","80","","Spain","False","VPN Consumer Barcelona Spain","AS9009","False","False","False","True","True","False","False","False"
"159.203.18.114","70","","Canada","False","DigitalOcean LLC","AS14061","True","False","False","False","True","False","False","False"
"172.104.225.176","0","","Germany","False","Akamai Technologies Inc.","AS63949","True","False","False","False","True","False","False","False"
"173.239.226.162","20","","United States of America","False","LogicWeb Inc","AS212238","False","False","False","True","True","False","False","False"
"173.239.254.129","90","","United States of America","False","LogicWeb Inc","AS206092","False","False","False","False","True","False","False","False"
"173.244.43.13","60","","Bermuda","False","Web Hosting Server 10","AS137409","False","False","False","False","True","False","False","False"
"173.244.55.131","80","","Canada","False","VPN Consumer Network","AS262287","False","False","False","True","False","False","False","False"
"178.175.128.42","80","","Moldova (the Republic of)","False","Trabia SRL","AS43289","False","False","False","True","False","False","False","False"
"178.175.129.12","90","","Moldova (the Republic of)","False","Trabia SRL","AS43289","False","False","False","True","False","False","False","False"
"18.116.165.241","40","","United States of America","False","Amazon Technologies Inc.","AS16509","False","False","False","False","True","False","False","False"
"18.175.157.27","40","","United Kingdom of Great Britain and Northern Ireland","False","Amazon Data Services UK","AS16509","False","False","False","False","True","False","False","False"
"18.199.141.170","40","","Germany","False","A100 ROW GmbH","AS16509","False","False","False","False","True","False","False","False"
"181.41.206.94","90","","United States of America","False","Cyber Assets Fzco","AS174","False","False","False","True","True","False","False","False"
"185.132.186.40","0","","South Africa","False","Digital Resources Management S.L.","AS206092","False","False","False","False","True","False","False","False"
"185.132.187.152","60","","Belgium","False","Digital Resources Management S.L.","AS206092","False","False","False","False","True","False","False","False"
"185.192.16.23","60","","Ireland","False","VPN Consumer Dublin Ireland","AS206092","False","False","False","False","True","False","False","False"
"185.192.69.8","40","","United Kingdom of Great Britain and Northern Ireland","False","VPN Consumer London United Kingdom","AS62240","False","False","False","False","True","False","False","False"
"185.199.157.23","60","","United Kingdom of Great Britain and Northern Ireland","False","Invermae Solutions SL","AS62240","False","False","False","False","True","False","False","False"
"185.207.249.180","60","","United States of America","False","PacketHub S.A.","AS136787","False","False","False","True","True","False","False","False"
"185.238.231.107","100","","United States of America","False","Invermae Solutions SL","AS206092","False","False","False","False","True","False","True","False"
"185.253.162.11","80","","Cyprus","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"185.64.78.15","70","","Argentina","False","Paldor Networks BV","AS396356","False","False","False","False","True","False","False","False"
"188.213.202.111","90","","United States of America","False","VPN Consumer Tampa United States of America","AS137409","False","False","False","False","True","False","False","False"
"188.213.34.23","100","","Turkiye","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","True","False"
"188.214.122.108","60","","Egypt","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"188.214.125.134","100","","Singapore","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"188.215.235.104","60","","Singapore","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"191.96.67.207","80","","United States of America","False","Cyber Assets Fzco","AS212238","False","False","False","True","True","False","False","False"
"196.196.106.69","60","","Latvia","False","Fiber Grid Inc","AS41564","False","False","False","False","True","False","False","False"
"196.244.192.14","80","","Finland","False","Fiber Grid Inc","AS58065","False","False","False","True","True","False","False","False"
"2.57.171.224","0","","Brazil","False","Rua Dr. Miguel Couto 58","AS262287","False","False","False","False","False","False","False","False"
"203.159.81.62","0","","Israel","False","Legaco Networks B.V.","AS206092","False","False","False","False","True","False","False","False"
"212.102.49.67","80","","Spain","False","DataCamp Limited","AS212238","False","False","False","True","True","False","False","False"
"212.30.33.38","100","","Spain","False","M Nets SAL","AS212238","False","False","False","True","True","False","True","False"
"212.30.36.12","100","","Germany","False","M Nets SAL","AS137409","False","False","False","False","True","False","False","False"
"212.30.37.111","100","","Netherlands (Kingdom of the)","False","M Nets SAL","AS137409","False","False","False","False","True","False","False","False"
"213.254.175.127","40","","United States of America","False","VPN Consumer Los Angeles United States","AS137409","False","False","False","False","True","False","False","False"
"216.73.162.10","100","","Canada","False","Bandito Networks Inc","AS206092","False","False","False","True","True","False","False","False"
"217.138.162.5","60","","United Arab Emirates","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"218.234.18.11","40","","Korea (the Republic of)","False","SK Broadband Co Ltd","AS9318","False","False","False","False","False","False","False","False"
"3.106.55.231","40","","Australia","False","Amazon Corporate Services Pty Ltd","AS16509","False","False","False","False","True","False","False","False"
"3.123.32.186","40","","Germany","False","A100 ROW GmbH","AS16509","False","False","False","False","True","False","False","False"
"3.127.214.213","40","","Germany","False","A100 ROW GmbH","AS16509","False","False","False","False","True","False","False","False"
"3.72.39.64","0","","Germany","False","A100 ROW GmbH","AS16509","False","False","False","False","True","False","False","False"
"31.171.154.187","20","","Albania","False","Keminet SHPK","AS197706","False","False","False","True","False","False","False","False"
"31.186.11.175","60","","Turkiye","False","TURKTICARET.NET YAZILIM HIZMETLERI SAN. ve TIC. A.S.","AS197720","False","False","False","False","False","False","False","False"
"31.217.248.129","40","","Honduras","False","IPLuo BV","AS137409","False","False","False","False","True","False","False","False"
"31.59.107.14","0","","Colombia","False","Gold IP L.L.C-FZ","AS396356","False","False","False","False","True","False","False","False"
"35.205.109.94","40","","Belgium","False","Google LLC","AS396982","False","False","False","False","True","False","False","False"
"35.95.150.5","100","","United States of America","False","Amazon.com Inc.","AS16509","False","False","False","False","True","False","False","False"
"37.77.56.149","90","","Estonia","False","S.J.M. Steffann","AS206804","False","False","False","True","True","False","False","False"
"45.128.199.218","60","","Netherlands (Kingdom of the)","False","VPN Consumer Amsterdam the Netherlands","AS62240","False","False","False","False","True","False","False","False"
"45.13.191.54","60","","Norway","False","Pitline Ltd","AS42708","False","False","False","False","False","False","False","False"
"45.130.203.38","40","","Egypt","False","Legaco Networks B.V.","AS137409","False","False","False","False","True","False","False","False"
"45.130.81.47","60","","Ukraine","False","VPN Consumer Kiev Ukraine","AS206092","False","False","False","False","True","False","False","False"
"45.130.83.74","100","","United States of America","False","VPN Consumer New York City United States of America","AS206092","False","False","False","False","True","False","True","False"
"45.131.193.191","40","","United States of America","False","Van Veen Beheer B.V.","AS262287","False","False","False","False","False","False","False","False"
"45.131.195.205","90","","United States of America","False","Van Veen Beheer B.V.","AS62240","False","False","False","False","True","False","False","False"
"45.132.227.18","90","","United States of America","False","Syndesi Networks B.V.","AS27176","False","False","False","False","False","False","True","False"
"45.133.193.37","90","","Iceland","False","Shock Hosting LLC","AS206804","False","False","False","True","True","False","False","False"
"45.154.138.9","100","","France","False","VPN Consumer Marseille France","AS206092","False","False","False","False","True","False","False","False"
"45.67.99.38","40","","Spain","False","E Spain","AS40676","False","False","False","False","True","False","False","False"
"45.86.200.30","100","","Netherlands (Kingdom of the)","False","VPN Consumer the Hague the Netherlands","AS206092","False","False","False","False","True","False","False","False"
"45.86.201.73","60","","Iceland","False","Panq B.V.","AS206804","False","False","False","False","True","False","False","False"
"45.91.20.39","80","","Italy","False","VPN Consumer Milan Italy","AS9009","False","False","False","True","True","False","False","False"
"45.91.23.135","100","","Canada","False","VPN Consumer Montreal Canada","AS212238","False","False","False","True","True","False","True","False"
"47.129.242.105","40","","Singapore","False","Amazon Data Services Singapore","AS16509","False","False","False","False","True","False","False","False"
"64.226.126.21","60","","Germany","False","DigitalOcean LLC","AS14061","True","False","False","False","True","False","False","False"
"64.64.112.129","80","","Bangladesh","False","LogicWeb Inc","AS137409","False","False","False","True","True","False","False","False"
"64.64.116.23","60","","United States of America","False","LogicWeb Inc","AS262287","False","False","False","False","True","False","False","False"
"64.64.117.8","60","","United States of America","False","VPN Consumer Network","AS262287","False","False","False","True","False","False","False","False"
"66.56.85.16","80","","Bulgaria","False","VPN Consumer Sofia Bulgaria","AS212238","False","False","False","True","True","False","False","False"
"75.119.132.127","0","","France","False","Contabo GmbH","AS51167","True","False","False","False","True","False","False","False"
"75.119.143.38","40","","France","False","Contabo GmbH","AS51167","True","False","False","False","True","False","False","False"
"79.127.181.7","80","","Greece","False","DataCamp Limited","AS212238","False","False","False","True","True","False","False","False"
"82.118.29.49","100","","Sweden","False","Sheimo Scorpion Data AB","AS206092","False","False","False","False","True","False","False","False"
"84.239.42.9","90","","Ukraine","False","Invite Systems SRL","AS212238","False","False","False","True","True","False","False","False"
"85.203.15.7","60","","Germany","False","Falco IPR BV","AS62240","False","False","False","False","True","False","False","False"
"85.203.20.24","90","","Croatia","False","Falco IPR BV","AS212238","False","False","False","True","True","False","False","False"
"85.203.45.216","100","","Switzerland","False","Falco IPR BV","AS9009","False","False","False","True","True","False","False","False"
"91.193.232.129","70","","United States of America","False","Internet Utilities Europe and Asia Limited","AS62240","False","False","False","False","True","False","False","False"
"91.239.206.59","60","","Georgia","False","ProService LLC","AS47810","False","False","False","True","False","False","False","False"
"95.134.63.239","20","","United Kingdom of Great Britain and Northern Ireland","False","5 FF Phase 5 CG Colo","AS174","False","False","False","True","False","False","False","False"
"95.181.232.34","60","","Spain","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"95.181.236.9","100","","Georgia","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"95.181.238.24","60","","Canada","False","M247 Europe SRL","AS9009","False","False","False","True","True","False","False","False"
"98.159.226.216","100","","Netherlands (Kingdom of the)","False","ExpressVPN","AS13213","False","False","False","False","True","False","False","False"
"98.159.234.26","80","","Czechia","False","LogicWeb Inc","AS212238","False","False","False","True","True","False","False","False"
"98.159.39.13","60","","Puerto Rico","False","Epik Holdings Inc","AS137409","False","False","False","False","True","False","False","False"
